Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,COL1A2,ITGA2,k15,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,539,0.4829749103942652,124.173154426431,138577.240339897,0.3991359220625167,0.4467285665235457,41.81036761080642,0.0609415467816344,65324518.35512394,0.1002035404157906
k14,COL1A2,ITGA2,k12,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,500,0.3571428571428572,47.70895586004307,66792.5382040603,0.1533532604192659,0.2153177157604176,59.81916107180673,0.08719062785646052,63061359.60189866,0.09673200284756338
k14,COL1A2,ITGA2,k14,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,314,0.4169986719787517,139.2228230524544,104834.7857584982,0.4475108175182174,0.3379537177160367,174.5624553485857,0.2544370367170188,98978483.24474625,0.1518265223509395
k14,COL1A2,ITGA2,k15,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,539,0.4829749103942652,124.173154426431,138577.240339897,0.3991359220625167,0.4467285665235457,155.692653329477,0.2269329752073928,130836009.8401193,0.2006938853890046
k15,COL1A2,ITGA2,k12,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,500,0.3571428571428572,47.70895586004307,66792.5382040603,0.1533532604192659,0.2153177157604176,29.32832306978884,0.04274809035456723,45822571.96423808,0.07028882963687168
k15,COL1A2,ITGA2,k14,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,314,0.4169986719787517,139.2228230524544,104834.7857584982,0.4475108175182174,0.3379537177160367,85.58501982622812,0.1247461763096082,71921200.24093114,0.1103224191553343
k15,COL1A2,ITGA2,k15,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,539,0.4829749103942652,124.173154426431,138577.240339897,0.3991359220625167,0.4467285665235457,76.33347500407571,0.1112614000734895,95069984.4446761,0.1458311407187506
k12,COL1A2,CD93,k12,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,313,0.2235714285714286,10.26929118058751,14377.00765282252,0.1668238707475134,0.2482403800005734,3.457775083076923,0.02547128474660454,6777239.162830769,0.0556816080596619
k12,COL1A2,CD93,k14,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,302,0.401062416998672,37.73880320134743,28417.31881061462,0.6130640486004064,0.4906671951836583,12.70703995826294,0.09360488328100919,13395761.5240008,0.1100592033007965
k12,COL1A2,CD93,k15,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,96,0.08602150537634409,13.54958998644903,15121.34242487712,0.2201120806520802,0.2610924248157682,4.562285148717698,0.03360752545384928,7128114.31635653,0.05856438854107767
k14,COL1A2,CD93,k12,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,313,0.2235714285714286,10.26929118058751,14377.00765282252,0.1668238707475134,0.2482403800005734,12.87599722423047,0.09484948668292771,13573876.27378376,0.1115225891204165
k14,COL1A2,CD93,k14,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,302,0.401062416998672,37.73880320134743,28417.31881061462,0.6130640486004064,0.4906671951836583,47.31823421122718,0.3485640876988987,26829864.66187371,0.2204334202324695
k14,COL1A2,CD93,k15,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,96,0.08602150537634409,13.54958998644903,15121.34242487712,0.2201120806520802,0.2610924248157682,16.98895084256414,0.1251470653990456,14276630.86264709,0.1172964012346214
k15,COL1A2,CD93,k12,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,313,0.2235714285714286,10.26929118058751,14377.00765282252,0.1668238707475134,0.2482403800005734,6.312883692645373,0.04650309931798113,9863249.481389131,0.08103618282049506
k15,COL1A2,CD93,k14,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,302,0.401062416998672,37.73880320134743,28417.31881061462,0.6130640486004064,0.4906671951836583,23.19933003361477,0.1708950776204985,19495510.59508811,0.1601745716503923
k15,COL1A2,CD93,k15,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,96,0.08602150537634409,13.54958998644903,15121.34242487712,0.2201120806520802,0.2610924248157682,8.329395297426117,0.06135748979918529,10373895.34955114,0.08523163504006914
k12,COL1A2,ITGA11,k12,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,162,0.1157142857142857,2.658917670391323,3722.484738547852,0.3687820895233694,0.4881041022578672,0.8952846994943291,0.05630701151823958,1754758.011008885,0.1094842882297107
k12,COL1A2,ITGA11,k14,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,93,0.1235059760956175,3.237116817154274,2437.548963317168,0.4489761819837384,0.3196192145877422,1.089970249604409,0.06855134175048266,1149046.637132968,0.07169225182047546
