,Mono_TC-YH,Mono_TC-AH,Mono_TC-ACR,Mono_TC-YCR,Mono_BC-YH,Mono_BC-AH,Mono_BC-YCR,Mono_BC-ACR,TC_Mono-YH,TC_Mono-AH,TC_Mono-YCR,TC_Mono-ACR,BC_Mono-YH,BC_Mono-AH,BC_Mono-YCR,BC_Mono-ACR,TC_BC-YH,TC_BC-AH,TC_BC-YCR,TC_BC-ACR,BC_TC-YH,BC_TC-AH,BC_TC-YCR,BC_TC-ACR
IL13-IL2RG,0,0,1.364751596,0,0,0,1.058051709,0,0,0,-1.364751596,0,0,0,-1.058051709,0,0,0,-0.270205822,0,0,0,0.270205822,0
IL15-IL15RA,2.81784097,2.559068021,1.944355566,0.777499911,0.278445668,-0.355243556,0.37887038,-0.035151849,-2.81784097,-2.559068021,-1.944355566,-0.777499911,-0.278445668,0.355243556,-0.37887038,0.035151849,-2.344418337,-2.76813129,-1.490680334,-0.794897184,2.344418337,2.76813129,1.490680334,0.794897184
IL15-IL2RB,5.897735667,6.352073253,6.922540547,5.765126718,2.019467048,2.190364791,1.852589527,1.876160087,-5.897735667,-6.352073253,-6.922540547,-5.765126718,-2.019467048,-2.190364791,-1.852589527,-1.876160087,-3.985581642,-4.233352129,-5.146124017,-3.930571347,3.985581642,4.233352129,5.146124017,3.930571347
IL15-IL2RG,5.193602886,4.941283234,5.213759236,3.823125021,2.506191924,2.427448799,2.690980796,2.444868686,-5.193602886,-4.941283234,-5.213759236,-3.823125021,-2.506191924,-2.427448799,-2.690980796,-2.444868686,-2.757932901,-2.552310974,-2.586066143,-1.392992135,2.757932901,2.552310974,2.586066143,1.392992135
IL5-CSF2RB,-1.364219911,-0.568674875,0,-1.456935039,-1.660466051,0,0,-0.710535836,1.364219911,0.568674875,0,1.456935039,1.660466051,0,0,0.710535836,0.149685628,0.11496533,0,0.81799984,-0.149685628,-0.11496533,0,-0.81799984
CSF2-CSF2RB,0,-1.380561893,0.013264884,0,0,0,0.177166478,0,0,1.380561893,-0.013264884,0,0,0,-0.177166478,0,0,0.350862459,0,0,0,-0.350862459,0,0
CSF2-CSF2RA,0,-1.236056939,0.008299605,0,0,0,0.012985384,0,0,1.236056939,-0.008299605,0,0,0,-0.012985384,0,0,0.050603038,0,0,0,-0.050603038,0,0
IL6-IL6R,0,1.905959513,2.221083457,3.6766246,-4.710132084,-3.966567933,-5.286495031,-4.916220777,0,-1.905959513,-2.221083457,-3.6766246,4.710132084,3.966567933,5.286495031,4.916220777,-4.281567257,-3.831669232,-5.400930817,-6.439478328,4.281567257,3.831669232,5.400930817,6.439478328
IL6-IL6ST,0,2.20062153,3.176729425,4.616448262,-4.200016929,-2.607267094,-3.803629951,-3.433379449,0,-2.20062153,-3.176729425,-4.616448262,4.200016929,2.607267094,3.803629951,3.433379449,-4.994792064,-4.196086835,-6.517063499,-7.428415188,4.994792064,4.196086835,6.517063499,7.428415188
IL11-IL6ST,-0.983491194,0,-0.806155042,0,0,0,0,0,0.983491194,0,0.806155042,0,0,0,0,0,0.508572001,0,0.493398617,0,-0.508572001,0,-0.493398617,0
IL12A-IL12RB1,-0.684011672,-0.842331075,0.06156908,-0.494701732,-2.619377859,-2.631913816,-2.624502158,-3.62543753,0.684011672,0.842331075,-0.06156908,0.494701732,2.619377859,2.631913816,2.624502158,3.62543753,-2.352037395,-2.219882034,-2.797014351,-3.480497735,2.352037395,2.219882034,2.797014351,3.480497735
IL12B-IL12RB1,0,0,0,0,0,-1.370515959,0,-0.794118945,0,0,0,0,0,1.370515959,0,0.794118945,0,-1.990510581,0,-1.536947575,0,1.990510581,0,1.536947575
LIF-IL6ST,0,-1.809374291,2.415982905,3.969918752,0,-1.411233107,1.029521057,2.553622247,0,1.809374291,-2.415982905,-3.969918752,0,1.411233107,-1.029521057,-2.553622247,0,-0.616500169,0,0,0,0.616500169,0,0
OSM-IL6ST,-0.124726401,0.343350939,1.805063,1.868583761,2.320100392,0.634337561,3.90575988,5.720011435,0.124726401,-0.343350939,-1.805063,-1.868583761,-2.320100392,-0.634337561,-3.90575988,-5.720011435,3.133732538,0.311680987,2.198062844,4.178125262,-3.133732538,-0.311680987,-2.198062844,-4.178125262
IL10-IL10RA,-2.528370376,-4.629558077,2.359306396,5.883752741,0,-4.372371026,2.664651853,4.53177135,2.528370376,4.629558077,-2.359306396,-5.883752741,0,4.372371026,-2.664651853,-4.53177135,1.703659025,-1.176484013,0.622701453,0,-1.703659025,1.176484013,-0.622701453,0
IL16-CD4,-2.934000198,-2.349253332,-2.720544816,-2.262086142,-5.005381749,-5.854856915,-5.480537298,-5.419255208,2.934000198,2.349253332,2.720544816,2.262086142,5.005381749,5.854856915,5.480537298,5.419255208,-2.079935061,-3.512736096,-2.773645231,-3.173906798,2.079935061,3.512736096,2.773645231,3.173906798
IL17A-IL17RA,0,0,-2.409909673,0,0,0,0,0,0,0,2.409909673,0,0,0,0,0,0,0,0.563446532,0,0,0,-0.563446532,0
IFNG-IFNGR1,-4.501372826,-4.986605713,-4.783888232,-6.90732412,-3.156202432,-2.845610543,-2.431387566,-2.663614213,4.501372826,4.986605713,4.783888232,6.90732412,3.156202432,2.845610543,2.431387566,2.663614213,1.364347102,2.160933954,2.33279125,4.257323117,-1.364347102,-2.160933954,-2.33279125,-4.257323117
CD40LG-CD40,-6.32682381,-7.284724544,-6.602218575,-7.284561439,1.579627787,1.458446999,1.193530647,2.238406845,6.32682381,7.284724544,6.602218575,7.284561439,-1.579627787,-1.458446999,-1.193530647,-2.238406845,8.427467604,9.129574095,8.324431696,9.843431412,-8.427467604,-9.129574095,-8.324431696,-9.843431412
LTB-LTBR,-8.900364362,-8.797138643,-10.01676725,-8.616597037,-8.214681387,-8.631232502,-8.733767621,-8.658528224,8.900364362,8.797138643,10.01676725,8.616597037,8.214681387,8.631232502,8.733767621,8.658528224,0.730642748,0.182152613,1.327756613,-0.03624904,-0.730642748,-0.182152613,-1.327756613,0.03624904
TNF-TNFRSF1A,0.71770702,2.404735258,-1.34075193,-1.420974341,-2.386292477,-1.056362507,-2.332459937,-2.213714055,-0.71770702,-2.404735258,1.34075193,1.420974341,2.386292477,1.056362507,2.332459937,2.213714055,-2.887442947,-3.289377154,-0.982376505,-0.795288336,2.887442947,3.289377154,0.982376505,0.795288336
